adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],1415112,en,Amazing Grace,"Poetic study of relationships between text, sound and pictures about a young girl and her memories.",0.0409,/lRpZGrgtvGom2Bm3Rz2CqXag1rf.jpg,1990-09-20,Amazing Grace,False,0.0,0
False,,"[99, 36]",1413870,en,Animals on Trial,"Part of BBC Arena's Animal Night, this film chronicles a strange era in history when animals were put on trial in human courts.",0.0409,,1990-12-16,Animals on Trial,False,0.0,0
False,,[99],1165788,it,Alla Fiat era così,"Several Fiat workers tell the story of their life, work, and struggle at Fiat in the 1960's and 1970's. At the same time, memory makes something alive again in one of the worker's solitary gestures. However, twenty years later....",0.0409,,1990-01-01,Alla Fiat era così,False,0.0,0
False,,[99],1161460,ja,ヒロシマ・母たちの祈り,The horrors of war and the devastating effects of the atomic bomb.,0.0409,,1990-03-01,Hiroshima: A Mother's Prayer,False,0.0,0
False,/whUWaP5imWeSW32YC4MBlCt6BZ6.jpg,[99],1154613,en,Touring Scotland,"Touring this historic, romantic and ruggedly beautiful land, from it's craggy ocean shores to its North Sea islands--from its mist-shrouded mountains to its ancient cities. This is Scotland! Embarking from the colorful Borders and Hadrian's Wall we travel to the abbeys, and to Gretna Green. To Ayr, Dumfries and Culzean Castle, with its memories of General Eisenhower. And on to the Cinderella city of Glasgow and Loch Lomond. To Oban, Ben Nevis, Glenfinnan and haunting Glencoe. Excursion to fabled island--Skye, holy Iona and ""Fingal's Cave""--and on to the Orkneys and the Shetlands, renowned for their loveable ponies.",0.0289,/9NxxwlplmFbLoHbHxVGSg5mZXVb.jpg,1990-06-12,Touring Scotland,False,0.0,0
False,,[12],1114228,pt,Devaneios Eróticos,,0.1022,/b7klaoooGmZ2pnCoQnKOWpUYQC3.jpg,1990-06-05,Devaneios Eróticos,False,0.0,0
False,,[],679511,en,El protector de la mafia,Mexican feature film,0.0481,/4RezeXQICSCmcNWf91xiuwq0meM.jpg,1990-01-01,El protector de la mafia,False,6.0,3
False,/dJZJZKPFLLslMYC5MbtyIXo1AbY.jpg,"[80, 27, 99]",417017,en,Satanic Cults and Ritual Crime,This program explains some of the reasons why people are drawn to the Satanic way of life and reveals the symbols used by members of the occult world. The program also highlights some of the criminal activities associated with ritual practices and ceremonies and gives important dates when these crimes are most likely to occur during the year. (worldcat.org),0.0327,/fAumYTWaKgUN5oAPbUlYXqNFSu4.jpg,1990-01-01,Satanic Cults and Ritual Crime,False,6.0,1
False,,[],268190,sv,Svullo Grisar Vidare,Svullo grisar vidare is a swedish comedy from 1990 from a video diary point of view. Svullo mocks regular people during  his travel from Stockholm to Malmö through Mjölby and Lund.,0.0361,/rjOuQdd0EvPVmqqHBu6NsmMssyn.jpg,1990-01-01,Svullo Grisar Vidare,False,8.0,1
False,,"[14, 10402, 16]",93865,en,The Orchestra,Zbigniew Rybczinski's video experiments set to classical music pieces.,0.0481,/tRx61zsyNDLWbUdY8dN252tymeU.jpg,1990-06-21,The Orchestra,False,8.714,7
False,,[35],1096206,de,Peter Steiners Theaterstadl - Die Unschuldslamperl,,0.0667,,1990-05-02,Peter Steiners Theaterstadl - Die Unschuldslamperl,False,0.0,0
False,/7y5C5vpPIXr1yAcc3ZTpzbDoOd3.jpg,[99],999585,en,Cloughie: The Brian Clough Story,"Brian Clough, arguably Britain's greatest ever football manager, died in September 2004 at the age of 69. His passing was marked by a minute's silence at both the Derby County and Nottingham Forest grounds and provoked a wave of tributes from across the sporting spectrum. A memorial service due to be held at Derby Cathedral had to be moved to Pride Park to accommodate the fans' demand for tickets. This overwhelming affection and respect was fully deserved for the man who was often described as being controversial, outspoken and opinionated. His achievements in football speak for themselves: he took two lowly Midlands sides to the very top, winning two consecutive European Cups, with unfashionable Nottingham Forest, in a feat that will surely never be matched by a club of similar stature.",0.0538,/4T4A9CRqREGoM51sDpA74Ecp3kg.jpg,1990-07-01,Cloughie: The Brian Clough Story,False,0.0,0
False,/1owBcjz4X8DzRc7tPCuVW4NvZel.jpg,[],276936,en,Belinda Carlisle: Runaway Live,"1980s pop icon Belinda Carlisle shows she's still got the beat as she presents some of her greatest songs in this concert video filmed during a performance in 1990. Selected from both her successful solo career as well as her stint as a vocalist from the Go-Gos, this collection of songs includes ""Runaway Horses,"" ""Our Lips Are Sealed,"" ""Heaven Is a Place on Earth,"" ""We Got the Beat,"" ""Mad About You,"" ""I Get Weak,"" ""Valentine"" and more.",0.0286,/qJNSb9MKVqnshWxZZAWinObsJMh.jpg,1990-10-21,Belinda Carlisle: Runaway Live,False,0.0,0
False,,"[10770, 18]",1457445,it,I cavalieri del cross,,0.0475,/zGbkVEorA77oewz21mIYwnJBmqc.jpg,1990-04-23,I cavalieri del cross,False,0.0,0
False,,[],1434307,hi,Reconnaissance,"The protagonist is a young man staying in a city. He is sensitive, melancholy and a dreamer. He is unable to communicate his feelings to the woman he loves. Everything seems to have been entangled in a mesh, irrespective of these characters. He cannot even differentiate between his capability to love and his passionate desires which have been repressed. That is how he is confused and with his ideals and morality he is living outside his own time and inevitably suffering. His self criticism is endless. He dreams about whatever he lacks and about his ideals. The dreams have led him to the domain of non-communication. His repressed passion along with his self criticism has made him bored with life. Now at every point he expects something exceptional.",0.0404,/eMlkAqWjVI7ABGxNX4osHO2Tpzg.jpg,1990-01-01,Reconnaissance,False,0.0,0
False,,[99],1386121,es,La mujer de Lot,"A woman's walk through time and search for true freedom. The inner look breaks with the punishment of immobility, and the woman's destiny becomes a symbol of poetry and freedom.",0.0404,/8W8lDhrq3ht7mhVoryXlBIBUlGt.jpg,1990-12-31,Lots's wife,False,0.0,0
False,,[],1364288,en,Defy Gravity,Bill Fiddich is an inventor with bipolar disorder who is physically abusive to his wife and daughter. His son Patrick struggles to understand how to stand up to his father to protect the rest of the family. Patrick's high school history teacher tries to provide the emotional guidance Patrick isn't getting at home.,0.0281,,1990-09-15,Defy Gravity,False,0.0,0
False,,[16],1232381,xx,Pépère et Mémère,"Grand'Pa and Grand'Ma are eating their soup, unaware of the horrible crimes being committed by creatures outside their window.",0.0404,,1990-10-02,Grand'Pa and Grand'Ma,False,0.0,0
False,,"[28, 80, 9648]",1207836,hi,Abu Kaliya,Bollywood Old Movie 1990,0.0193,/yekl8crtnEIm0lwyljV5TTK3ww5.jpg,1990-01-01,Abu Kaliya,False,0.0,0
False,,"[16, 35]",1148996,en,Ozone,An animated Raeside cartoon from 1990. The depletion of the earth's ozone layer.,0.0429,,1990-01-01,Ozone,False,0.0,0
False,/A7WMI879ws9ppOoH1JMRbg54FKq.jpg,[99],1148059,en,Speed Cleaning,Clean your entire house in 42 minutes with the Jeff Campbell's unbeatable system of speed cleaning.,0.0379,/8eG1zUinzeioBQjWEcywUEe0e7c.jpg,1990-09-27,Speed Cleaning,False,0.0,0
